domain,status,reason,evidence,reviewed_at,review_version
blog.mongodb.org,excluded,"Unrelated third-party: MongoDB corporate blog, not an LLM API relay","monitor final_url https://www.mongodb.com/company/blog, title 'MongoDB Blog'; discovery signal_tier C_framework+content (codesearch content match only; no /api/status, no /v1/models)",2026-07-23,2026-07-23-audit-v2
api.xunhupay.com,excluded,"Unrelated third-party: Xunhu (虎皮椒) payment gateway, not an LLM API service",monitor final_url https://www.xunhupay.com; xunhupay.com is a Chinese payment aggregator; discovery C_framework+content only,2026-07-23,2026-07-23-audit-v2
pay.xunhuweb.com,excluded,Unrelated third-party: Xunhu (虎皮椒) payment infrastructure,monitor final_url https://www.xunhupay.com; payment platform; discovery C_framework+content only,2026-07-23,2026-07-23-audit-v2
tokenhub.tencentcloudmaas.com,excluded,"Upstream provider infrastructure: Tencent Cloud MaaS official platform, not an independent relay",host under tencentcloudmaas.com (Tencent official Model-as-a-Service); monitor last status HTTP_404,2026-07-23,2026-07-23-audit-v2
tokenhub-intl.tencentcloudmaas.com,excluded,Upstream provider infrastructure: Tencent Cloud MaaS international platform,host under tencentcloudmaas.com; monitor last status HTTP_404,2026-07-23,2026-07-23-audit-v2
blog.oiov.dev,questionable,Possible blog/doc host; verify oiov.dev is not a study-eligible relay,'blog.' role subdomain; monitor final_url https://www.oiov.dev/; discovery C_framework+content,2026-07-23,2026-07-23-audit-v2
routellm.abacus.ai,questionable,"Possible first-party platform (Abacus.AI RouteLLM), not a gray-market relay; human eligibility decision needed",monitor final_url https://routellm-apis.abacus.ai; discovery C_framework+content,2026-07-23,2026-07-23-audit-v2
fugu.sakana.ai,questionable,Possible first-party research-lab infrastructure (Sakana AI); human eligibility decision needed,monitor final_url https://console.sakana.ai/; discovery C_framework+content,2026-07-23,2026-07-23-audit-v2
openrouter.com,questionable,"Global independent aggregator (redirect stub to openrouter.ai); study models 'aggregator' as a site_role and no frozen rule excludes aggregators, so NOT auto-excluded; human decision needed on first-party commercial aggregator scope",monitor final_url https://openrouter.ai/?ref=openrouter.com; discovery C_framework+content; site_role 'aggregator' defined in docs/DATA_DICTIONARY.md / docs/ANALYSIS_LAYER_FULL_SPEC.md,2026-07-23,2026-07-23-audit-v2
1ove.tech,questionable,"Discovery C_framework+content: codesearch content match only, no /api/status and no /v1/models signal (false-positive risk per docs/FINDING_discovery_bias.md); verify it is a relay",discovery C_framework+content; last monitor status ONLINE,2026-07-23,2026-07-23-audit-v2
2dapi.online,questionable,"Discovery C_framework+content weak fingerprint; verify study eligibility (an endpoint response is a discovery signal, not proof of eligibility)",discovery C_framework+content; v1models_hit=True; last monitor status ONLINE,2026-07-23,2026-07-23-audit-v2
4hidc.com,questionable,"Discovery C_framework+content weak fingerprint; verify study eligibility (an endpoint response is a discovery signal, not proof of eligibility)",discovery C_framework+content; v1models_hit=True; last monitor status ONLINE,2026-07-23,2026-07-23-audit-v2
api.vip.crond.dev,questionable,Cross-entity redirect: capturing this host archives a different entity; verify same operator / not a duplicate of an already-listed relay,monitor final_url host bearlab.ai; discovery (none),2026-07-23,2026-07-23-audit-v2
chat.innk.cc,questionable,Cross-entity redirect: capturing this host archives a different entity; verify same operator / not a duplicate of an already-listed relay,monitor final_url host platform.ephone.ai; discovery A_api_status,2026-07-23,2026-07-23-audit-v2
claude-api.org,questionable,Cross-entity redirect: capturing this host archives a different entity; verify same operator / not a duplicate of an already-listed relay,monitor final_url host voltapi.ai; discovery (none),2026-07-23,2026-07-23-audit-v2
claudeapi.com,questionable,Cross-entity redirect: capturing this host archives a different entity; verify same operator / not a duplicate of an already-listed relay,monitor final_url host apito.ai; discovery (none),2026-07-23,2026-07-23-audit-v2
clauden.ai,questionable,Cross-entity redirect: capturing this host archives a different entity; verify same operator / not a duplicate of an already-listed relay,monitor final_url host yangble5.com; discovery C_framework+content,2026-07-23,2026-07-23-audit-v2
creatraai.cn,questionable,"Discovery C_framework+content weak fingerprint; verify study eligibility (an endpoint response is a discovery signal, not proof of eligibility)",discovery C_framework+content; v1models_hit=True; last monitor status TIMEOUT,2026-07-23,2026-07-23-audit-v2
deepseek-api.com.cn,questionable,"Discovery C_framework+content weak fingerprint; verify study eligibility (an endpoint response is a discovery signal, not proof of eligibility)",discovery C_framework+content; v1models_hit=True; last monitor status TIMEOUT,2026-07-23,2026-07-23-audit-v2
fullrouter.com,questionable,"Discovery C_framework+content: codesearch content match only, no /api/status and no /v1/models signal (false-positive risk per docs/FINDING_discovery_bias.md); verify it is a relay",discovery C_framework+content; last monitor status ONLINE,2026-07-23,2026-07-23-audit-v2
geminiapi.ai,questionable,Cross-entity redirect: capturing this host archives a different entity; verify same operator / not a duplicate of an already-listed relay,monitor final_url host claudeapi.ai; discovery A_api_status,2026-07-23,2026-07-23-audit-v2
getgoapi.com,questionable,"Discovery C_framework+content: codesearch content match only, no /api/status and no /v1/models signal (false-positive risk per docs/FINDING_discovery_bias.md); verify it is a relay",discovery C_framework+content; last monitor status HTTP_ERROR,2026-07-23,2026-07-23-audit-v2
hook.rs,questionable,"Discovery C_framework+content weak fingerprint; verify study eligibility (an endpoint response is a discovery signal, not proof of eligibility)",discovery C_framework+content; v1models_hit=True; last monitor status ONLINE,2026-07-23,2026-07-23-audit-v2
jmaivip.com,questionable,"Discovery C_framework+content: codesearch content match only, no /api/status and no /v1/models signal (false-positive risk per docs/FINDING_discovery_bias.md); verify it is a relay",discovery C_framework+content; last monitor status ONLINE,2026-07-23,2026-07-23-audit-v2
model.zhengshuyun.net,questionable,Cross-entity redirect: capturing this host archives a different entity; verify same operator / not a duplicate of an already-listed relay,monitor final_url host wocao.ai; discovery A_api_status,2026-07-23,2026-07-23-audit-v2
mstoken.vip,questionable,"Discovery C_framework+content weak fingerprint; verify study eligibility (an endpoint response is a discovery signal, not proof of eligibility)",discovery C_framework+content; v1models_hit=True; last monitor status TIMEOUT,2026-07-23,2026-07-23-audit-v2
ominigate.com,questionable,"Discovery C_framework+content: codesearch content match only, no /api/status and no /v1/models signal (false-positive risk per docs/FINDING_discovery_bias.md); verify it is a relay",discovery C_framework+content; last monitor status ONLINE,2026-07-23,2026-07-23-audit-v2
rinkoai.com,questionable,Cross-entity redirect: capturing this host archives a different entity; verify same operator / not a duplicate of an already-listed relay,monitor final_url host api.rinko.ai; discovery A_api_status,2026-07-23,2026-07-23-audit-v2
router.teamolab.com,questionable,"Discovery C_framework+content: codesearch content match only, no /api/status and no /v1/models signal (false-positive risk per docs/FINDING_discovery_bias.md); verify it is a relay",discovery C_framework+content; last monitor status ONLINE,2026-07-23,2026-07-23-audit-v2
tokencheap.ai,questionable,"Discovery C_framework+content weak fingerprint; verify study eligibility (an endpoint response is a discovery signal, not proof of eligibility)",discovery C_framework+content; v1models_hit=True; last monitor status TIMEOUT,2026-07-23,2026-07-23-audit-v2
twentytwohundred.ai,questionable,Cross-entity redirect: capturing this host archives a different entity; verify same operator / not a duplicate of an already-listed relay,monitor final_url host 2200.ai; discovery C_framework+content,2026-07-23,2026-07-23-audit-v2
unorouter.ai,questionable,"Discovery C_framework+content: codesearch content match only, no /api/status and no /v1/models signal (false-positive risk per docs/FINDING_discovery_bias.md); verify it is a relay",discovery C_framework+content; last monitor status ONLINE,2026-07-23,2026-07-23-audit-v2
worldrouter.ai,questionable,Cross-entity redirect: capturing this host archives a different entity; verify same operator / not a duplicate of an already-listed relay,monitor final_url host router.worldclaw.ai; discovery C_framework+content,2026-07-23,2026-07-23-audit-v2
yhapiplatform.com,questionable,"Discovery C_framework+content weak fingerprint; verify study eligibility (an endpoint response is a discovery signal, not proof of eligibility)",discovery C_framework+content; v1models_hit=True; last monitor status TIMEOUT,2026-07-23,2026-07-23-audit-v2
yixintoken.com,questionable,"Discovery C_framework+content: codesearch content match only, no /api/status and no /v1/models signal (false-positive risk per docs/FINDING_discovery_bias.md); verify it is a relay",discovery C_framework+content; last monitor status TIMEOUT,2026-07-23,2026-07-23-audit-v2
zhumengwangluo.top,questionable,"Discovery C_framework+content weak fingerprint; verify study eligibility (an endpoint response is a discovery signal, not proof of eligibility)",discovery C_framework+content; v1models_hit=True; last monitor status TIMEOUT,2026-07-23,2026-07-23-audit-v2
