domain,origin,discovery_methods,verdict,framework,platform_name,verified_site_name,api_status_hit,html_framework_hit,content_hits,signal_tier,v1models_hit,last_round,title
0029.org,fofa_g1,fofa,confirmed,sub2api,,,False,sub2api,8,C_framework+content,False,fofa_g1,Token云桥|AI 密钥 TOKEN 中转站｜openai gpt 5.5 gpt-image-2 Codex
114api.com,fofa_g1,fofa,confirmed,new-api/one-api系,New API,New API,True,,4,A_api_status,False,fofa_g1,114API · AI 大模型 API · 国内直连
16api.com,fofa_g1,fofa,confirmed,new-api/one-api系,一流API,一流API,True,,7,A_api_status,False,fofa_g1,首页 - 一流API - 极速稳定的AI大模型接口中转服务平台 (ChatGPT/Claude/Midjourney/gemini)
1ove.tech,fofa_g1,fofa,confirmed,sub2api,,,False,sub2api,4,C_framework+content,False,fofa_g1,
1publish.me,fofa_g1,fofa,confirmed,new-api/one-api系,Token Platform,Token Platform,True,one-api,5,A_api_status,False,fofa_g1,Token Platform - AI Model API Gateway
2dapi.online,fofa_g1,fofa,confirmed,openai_compatible_unknown,酷燃AI — 巨量引擎 一站调用,酷燃AI — 巨量引擎 一站调用,False,,1,C_framework+content,True,fofa_g1,酷燃AI — 巨量引擎 一站调用
4hidc.com,fofa_g1,fofa,confirmed,openai_compatible_unknown,酷站AI · 你的全模型 API 中转站,酷站AI · 你的全模型 API 中转站,False,,13,C_framework+content,True,fofa_g1,酷站AI · 你的全模型 API 中转站
51api.org,fofa_g1,fofa,confirmed,new-api/one-api系,51API,51API,True,,5,A_api_status,False,fofa_g1,51API - GPT API、Claude API、Grok API、Gemini API 中转与直连购买
5w5.wtf,fofa_g1,fofa,confirmed,new-api/one-api系,55api,55api,True,new-api,0,A_api_status,False,fofa_g1,New API
712api.cc,fofa_g1,fofa,confirmed,new-api/one-api系,712api,712api,True,new-api,10,A_api_status,False,fofa_g1,712api · 编码人员的 AI API 中转站 · GPT-5 Codex / OpenAI 兼容
73card.com,fofa_g1,fofa,confirmed,openai_compatible_unknown,API 中转服务,API 中转服务,False,,5,C_framework+content,True,fofa_g1,API 中转服务
8511.top,fofa_g1,fofa,confirmed,new-api/one-api系,小卡拉中转站,小卡拉中转站,True,new-api,0,A_api_status,False,fofa_g1,New API
abaiapi.xyz,fofa_g1,fofa,confirmed,new-api/one-api系,aBai API,aBai API,True,new-api,0,A_api_status,False,fofa_g1,New API
aggbox.shop,fofa_g1,fofa,confirmed,new-api/one-api系,智模盒 AggBox,智模盒 AggBox,True,,2,A_api_status,False,fofa_g1,智模盒 AggBox AI API 聚合服务平台
